id_master,id_using,_pc01_block_name_master,_pc01_block_name_using
Gujarat-JAMNAGAR_JAMKHAMBHALIYA                     ,24-10-khambhalia,jamkhambhaliya,khambhalia
Gujarat-JUNAGADH_MALIA HATINA,24-12-malia,malia hatina,malia
Gujarat-JUNAGADH_VERAVAL                            ,24-12-patanveraval,veraval,patanveraval
Gujarat-PATAN_URBAN-PATAN                        ,24-03-vagdod,urban patan,vagdod
Gujarat-SURENDRANAGAR_PATDI - DASADA,24-08-dasada,patdi dasada,dasada
Haryana-BHIWANI_DADRI                              ,06-13-dadrii p,dadri,dadrii p
Haryana-HISAR_HANSI-I                            ,06-12-hans2,hansi-1,hans-2
Haryana-HISAR_HISAR-I,06-12-hisari,hisar-1,hisari
Haryana-JHAJJAR_JHAJJAR1                           ,06-15-nahar p,jhajjar-1,nahar p
Haryana-KARNAL_NISSING                            ,06-06-nissingatchirao,nissing,nissingatchirao
Haryana-MAHENDRAGARH_ATELI,06-16-atelinangal,ateli,atelinangal
Haryana-REWARI_KHOL,06-17-kholatrewari,khol,kholatrewari
Himachal-Pradesh-BILASPUR (H.P.)_SADAR                              ,02-08-bilaspursadar,sadar,bilaspursadar
Himachal-Pradesh-CHAMBA_BANIKHET                           ,02-01-bhattiyat,banikhet,bhattiyat
Himachal-Pradesh-MANDI_CHACHIOT-1,02-05-chachyot,chachiot-1,chachyot
Himachal-Pradesh-MANDI_DHARAMPUR-1                        ,02-05-dharmpur,dharampur-1,dharmpur
Himachal-Pradesh-MANDI_SADAR-1                            ,02-05-mandisadar,sadar-1,mandisadar
Himachal-Pradesh-MANDI_SUNDER NAGAR-1                     ,02-05-sundarnagar,sunder nagar-1,sundarnagar
Himachal-Pradesh-SHIMLA_JUBBAL                             ,02-11-jubbalkotkhai,jubbal,jubbalkotkhai
Jammu-&-Kashmir-ANANTNAG_D H PORA                           ,01-06-damhalhanjipora,d h pora,damhalhanjipora
Jammu-and-Kashmir-BADGAM_B.K.PORA                           ,01-04-baghatikanipora,bkpora,baghatikanipora
Jammu-and-Kashmir-KARGIL_CHIKTAN                            ,01-08-shakarchiktan,chiktan,shakarchiktan
Jammu-&-Kashmir-KATHUA_MALAHAR,01-14-lohaimalhar,malahar,lohaimalhar
Jammu-and-Kashmir-LEH (LADAKH)_KHALTSE                            ,01-07-khalsi,khaltse,khalsi
Jammu-&-Kashmir-PULWAMA_KEEGAM                             ,01-05-kulgam,keegam,kulgam
